SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,LeaseContractLength,PurchaseOption,OfferingClass,Product Family,serviceCode,Location,Location Type,Instance Type,Current Generation,Instance Family,vCPU,Physical Processor,Clock Speed,Memory,Storage,Network Performance,Processor Architecture,Storage Media,Volume Type,Max Volume Size,Max IOPS/volume,Max IOPS Burst Performance,Max throughput/volume,Provisioned,Tenancy,EBS Optimized,Operating System,License Model,Group,Group Description,Transfer Type,From Location,From Location Type,To Location,To Location Type,usageType,operation,CapacityStatus,Dedicated EBS Throughput,ECU,Elastic Graphics Type,Enhanced Networking Supported,GPU,GPU Memory,Instance,Instance Capacity - 10xlarge,Instance Capacity - 12xlarge,Instance Capacity - 16xlarge,Instance Capacity - 18xlarge,Instance Capacity - 24xlarge,Instance Capacity - 2xlarge,Instance Capacity - 32xlarge,Instance Capacity - 4xlarge,Instance Capacity - 8xlarge,Instance Capacity - 9xlarge,Instance Capacity - large,Instance Capacity - medium,Instance Capacity - metal,Instance Capacity - xlarge,instanceSKU,Intel AVX Available,Intel AVX2 Available,Intel Turbo Available,Normalization Size Factor,Physical Cores,Pre Installed S/W,Processor Features,Product Type,Resource Type,serviceName,Volume API Name
B2PXHY5YDBKCDFQ9,JRTCKXETXF,B2PXHY5YDBKCDFQ9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$27.618 per Dedicated Unused Reservation Usage RHEL p2.16xlarge Instance Hour,2020-04-01,0,Inf,Hrs,27.618,USD,,,,Compute Instance,AmazonEC2,Asia Pacific (Singapore),AWS Region,p2.16xlarge,Yes,GPU instance,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,732 GiB,EBS only,20 Gigabit,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,APS1-UnusedDed:p2.16xlarge,RunInstances:0010,UnusedCapacityReservation,10000 Mbps,201,,Yes,16,,,,,,,,,,,,,,,,,4ZWAKJPMKVV6GPBQ,Yes,Yes,Yes,128,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
HYFZG2639938AXFC,JRTCKXETXF,HYFZG2639938AXFC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$30.432 per Unused Reservation Windows p2.16xlarge Instance Hour,2020-04-01,0,Inf,Hrs,30.432,USD,,,,Compute Instance,AmazonEC2,Asia Pacific (Singapore),AWS Region,p2.16xlarge,Yes,GPU instance,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,732 GiB,EBS only,20 Gigabit,64-bit,,,,,,,,Shared,,Windows,No License required,,,,,,,,APS1-UnusedBox:p2.16xlarge,RunInstances:0002,UnusedCapacityReservation,10000 Mbps,201,,Yes,16,,,,,,,,,,,,,,,,,RNFDVY3QSDMV9T2N,Yes,Yes,Yes,128,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
YSKETJYA9DW7GVUQ,JRTCKXETXF,YSKETJYA9DW7GVUQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$3.772 per Unused Reservation SUSE p3.2xlarge Instance Hour,2020-04-01,0,Inf,Hrs,3.772,USD,,,,Compute Instance,AmazonEC2,AWS GovCloud (US-West),AWS Region,p3.2xlarge,Yes,GPU instance,8,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,61 GiB,EBS only,Up to 10 Gigabit,64-bit,,,,,,,,Shared,,SUSE,No License required,,,,,,,,UGW1-UnusedBox:p3.2xlarge,RunInstances:000g,UnusedCapacityReservation,1750 Mbps,31,,Yes,1,,,,,,,,,,,,,,,,,NWGFSE4CZ7HAHRGS,Yes,Yes,Yes,16,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
5R2HA6DBTRDCZE3G,JRTCKXETXF,5R2HA6DBTRDCZE3G.JRTCKXETXF.6YS6EN2CT7,OnDemand,$24.58 per Dedicated SUSE p3.16xlarge Instance Hour,2020-04-01,0,Inf,Hrs,24.58,USD,,,,Compute Instance,AmazonEC2,US East (Ohio),AWS Region,p3.16xlarge,Yes,GPU instance,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,488 GiB,EBS only,25 Gigabit,64-bit,,,,,,,,Dedicated,,SUSE,No License required,,,,,,,,USE2-DedicatedUsage:p3.16xlarge,RunInstances:000g,Used,14000 Mbps,201,,Yes,8,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,128,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
QTAGSZ32A2HQ97XB,JRTCKXETXF,QTAGSZ32A2HQ97XB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$3.305 per On Demand Linux p3.2xlarge Instance Hour,2020-04-01,0,Inf,Hrs,3.305,USD,,,,Compute Instance,AmazonEC2,EU (Ireland),AWS Region,p3.2xlarge,Yes,GPU instance,8,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,61 GiB,EBS only,Up to 10 Gigabit,64-bit,,,,,,,,Shared,,Linux,No License required,,,,,,,,EU-BoxUsage:p3.2xlarge,RunInstances,Used,1750 Mbps,31,,Yes,1,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,16,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
C5QNB2RN5SN2GQCM,JRTCKXETXF,C5QNB2RN5SN2GQCM.JRTCKXETXF.6YS6EN2CT7,OnDemand,$14.53 per Dedicated Unused Reservation Usage RHEL p2.16xlarge Instance Hour,2020-04-01,0,Inf,Hrs,14.53,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,p2.16xlarge,Yes,GPU instance,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,732 GiB,EBS only,20 Gigabit,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,UnusedDed:p2.16xlarge,RunInstances:0010,UnusedCapacityReservation,10000 Mbps,201,,Yes,16,,,,,,,,,,,,,,,,,298AWKD7RC822MQJ,Yes,Yes,Yes,128,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
98VSQ3X6YU7XT459,JRTCKXETXF,98VSQ3X6YU7XT459.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.472 per Windows p3.8xlarge Dedicated Host Instance hour,2020-04-01,0,Inf,Hrs,1.472,USD,,,,Compute Instance,AmazonEC2,US East (Ohio),AWS Region,p3.8xlarge,Yes,GPU instance,32,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,244 GiB,EBS only,10 Gigabit,64-bit,,,,,,,,Host,,Windows,No License required,,,,,,,,USE2-HostBoxUsage:p3.8xlarge,RunInstances:0002,Used,7000 Mbps,97,,Yes,4,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,64,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
QKA5U78AKBSB93N2,JRTCKXETXF,QKA5U78AKBSB93N2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.602 per Unused Reservation RHEL p2.xlarge Instance Hour,2020-04-01,0,Inf,Hrs,1.602,USD,,,,Compute Instance,AmazonEC2,Asia Pacific (Sydney),AWS Region,p2.xlarge,Yes,GPU instance,4,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,61 GiB,EBS only,High,64-bit,,,,,,,,Shared,,RHEL,No License required,,,,,,,,APS2-UnusedBox:p2.xlarge,RunInstances:0010,UnusedCapacityReservation,750 Mbps,16,,Yes,1,,,,,,,,,,,,,,,,,2T2UFGMZ7T8GBQVP,Yes,Yes,Yes,8,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
A9S96W6K5DZ3M2R4,JRTCKXETXF,A9S96W6K5DZ3M2R4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$24.802 per Unused Reservation RHEL p2.16xlarge Instance Hour,2020-04-01,0,Inf,Hrs,24.802,USD,,,,Compute Instance,AmazonEC2,Asia Pacific (Tokyo),AWS Region,p2.16xlarge,Yes,GPU instance,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,732 GiB,EBS only,20 Gigabit,64-bit,,,,,,,,Shared,,RHEL,No License required,,,,,,,,APN1-UnusedBox:p2.16xlarge,RunInstances:0010,UnusedCapacityReservation,10000 Mbps,201,,Yes,16,,,,,,,,,,,,,,,,,R89JCW6HK96ZEVHH,Yes,Yes,Yes,128,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
YKZJ4TKC7T4YHGGY,JRTCKXETXF,YKZJ4TKC7T4YHGGY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$24.48 per Dedicated Windows BYOL p3.16xlarge Instance Hour,2020-04-01,0,Inf,Hrs,24.48,USD,,,,Compute Instance,AmazonEC2,US West (Oregon),AWS Region,p3.16xlarge,Yes,GPU instance,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,488 GiB,EBS only,25 Gigabit,64-bit,,,,,,,,Dedicated,,Windows,Bring your own license,,,,,,,,USW2-DedicatedUsage:p3.16xlarge,RunInstances:0800,Used,14000 Mbps,201,,Yes,8,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,128,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
88K6BCY7TJZEYNVB,JRTCKXETXF,88K6BCY7TJZEYNVB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.248 per Dedicated Unused Reservation Usage RHEL p2.xlarge Instance Hour,2020-04-01,0,Inf,Hrs,1.248,USD,,,,Compute Instance,AmazonEC2,AWS GovCloud (US-West),AWS Region,p2.xlarge,Yes,GPU instance,4,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,61 GiB,EBS only,High,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,UGW1-UnusedDed:p2.xlarge,RunInstances:0010,UnusedCapacityReservation,750 Mbps,16,,Yes,1,,,,,,,,,,,,,,,,,HHX3B48F2TADS8WW,Yes,Yes,Yes,8,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
8FP7E9JJNEMHRNW9,JRTCKXETXF,8FP7E9JJNEMHRNW9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.234 per On Demand Windows BYOL p3.2xlarge Instance Hour,2020-04-01,0,Inf,Hrs,4.234,USD,,,,Compute Instance,AmazonEC2,Asia Pacific (Singapore),AWS Region,p3.2xlarge,Yes,GPU instance,8,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,61 GiB,EBS only,Up to 10 Gigabit,64-bit,,,,,,,,Shared,,Windows,Bring your own license,,,,,,,,APS1-BoxUsage:p3.2xlarge,RunInstances:0800,Used,1750 Mbps,31,,Yes,1,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,16,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
VZXDU3M8EWRSJBP6,JRTCKXETXF,VZXDU3M8EWRSJBP6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$24.672 per Dedicated Usage Windows BYOL p2.16xlarge Instance Hour,2020-04-01,0,Inf,Hrs,24.672,USD,,,,Compute Instance,AmazonEC2,Asia Pacific (Tokyo),AWS Region,p2.16xlarge,Yes,GPU instance,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,732 GiB,EBS only,20 Gigabit,64-bit,,,,,,,,Dedicated,,Windows,Bring your own license,,,,,,,,APN1-DedicatedUsage:p2.16xlarge,RunInstances:0800,Used,10000 Mbps,201,,Yes,16,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,128,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
29WJVB7YX4DVCAQV,JRTCKXETXF,29WJVB7YX4DVCAQV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.184 per Windows p2.xlarge Dedicated Host Instance hour,2020-04-01,0,Inf,Hrs,0.184,USD,,,,Compute Instance,AmazonEC2,Asia Pacific (Singapore),AWS Region,p2.xlarge,Yes,GPU instance,4,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,61 GiB,EBS only,High,64-bit,,,,,,,,Host,,Windows,No License required,,,,,,,,APS1-HostBoxUsage:p2.xlarge,RunInstances:0002,Used,750 Mbps,16,,Yes,1,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,8,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
M6ZF7J4966MY3Z5H,JRTCKXETXF,M6ZF7J4966MY3Z5H.JRTCKXETXF.6YS6EN2CT7,OnDemand,$21.316 per Dedicated Unused Reservation Usage SUSE p2.16xlarge Instance Hour,2020-04-01,0,Inf,Hrs,21.316,USD,,,,Compute Instance,AmazonEC2,EU (Frankfurt),AWS Region,p2.16xlarge,Yes,GPU instance,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,732 GiB,EBS only,20 Gigabit,64-bit,,,,,,,,Dedicated,,SUSE,No License required,,,,,,,,EUC1-UnusedDed:p2.16xlarge,RunInstances:000g,UnusedCapacityReservation,10000 Mbps,201,,Yes,16,,,,,,,,,,,,,,,,,97UWS4J3YVGY29RA,Yes,Yes,Yes,128,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
9MSTVHD5FNUTQ99C,JRTCKXETXF,9MSTVHD5FNUTQ99C.JRTCKXETXF.6YS6EN2CT7,OnDemand,$14.508 per Dedicated Windows p3.8xlarge Instance Hour,2020-04-01,0,Inf,Hrs,14.508,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,p3.8xlarge,Yes,GPU instance,32,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,244 GiB,EBS only,10 Gigabit,64-bit,,,,,,,,Dedicated,,Windows,No License required,,,,,,,,DedicatedUsage:p3.8xlarge,RunInstances:0002,Used,7000 Mbps,97,,Yes,4,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,64,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
3YDVGEKG4M4TRJT4,JRTCKXETXF,3YDVGEKG4M4TRJT4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$24.58 per On Demand SUSE p3.16xlarge Instance Hour,2020-04-01,0,Inf,Hrs,24.58,USD,,,,Compute Instance,AmazonEC2,US East (Ohio),AWS Region,p3.16xlarge,Yes,GPU instance,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,488 GiB,EBS only,25 Gigabit,64-bit,,,,,,,,Shared,,SUSE,No License required,,,,,,,,USE2-BoxUsage:p3.16xlarge,RunInstances:000g,Used,14000 Mbps,201,,Yes,8,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,128,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
QDAWXJRQHAYA4VZJ,JRTCKXETXF,QDAWXJRQHAYA4VZJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$10.608 per On Demand Windows BYOL p2.8xlarge Instance Hour,2020-04-01,0,Inf,Hrs,10.608,USD,,,,Compute Instance,AmazonEC2,EU (Frankfurt),AWS Region,p2.8xlarge,Yes,GPU instance,32,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,488 GiB,EBS only,10 Gigabit,64-bit,,,,,,,,Shared,,Windows,Bring your own license,,,,,,,,EUC1-BoxUsage:p2.8xlarge,RunInstances:0800,Used,5000 Mbps,97,,Yes,8,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,64,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
HHX3B48F2TADS8WW,JRTCKXETXF,HHX3B48F2TADS8WW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.248 per Dedicated Usage RHEL p2.xlarge Instance Hour,2020-04-01,0,Inf,Hrs,1.248,USD,,,,Compute Instance,AmazonEC2,AWS GovCloud (US-West),AWS Region,p2.xlarge,Yes,GPU instance,4,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,61 GiB,EBS only,High,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,UGW1-DedicatedUsage:p2.xlarge,RunInstances:0010,Used,750 Mbps,16,,Yes,1,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,8,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
K3JDYWHEHQZ892SW,JRTCKXETXF,K3JDYWHEHQZ892SW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$26.44 per On Demand Windows BYOL p3.16xlarge Instance Hour,2020-04-01,0,Inf,Hrs,26.44,USD,,,,Compute Instance,AmazonEC2,EU (Ireland),AWS Region,p3.16xlarge,Yes,GPU instance,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,488 GiB,EBS only,25 Gigabit,64-bit,,,,,,,,Shared,,Windows,Bring your own license,,,,,,,,EU-BoxUsage:p3.16xlarge,RunInstances:0800,Used,14000 Mbps,201,,Yes,8,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,128,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
4BQ2RKRJN38UW8RJ,JRTCKXETXF,4BQ2RKRJN38UW8RJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$18.166 per Dedicated SUSE p3.8xlarge Instance Hour,2020-04-01,0,Inf,Hrs,18.166,USD,,,,Compute Instance,AmazonEC2,Asia Pacific (Singapore),AWS Region,p3.8xlarge,Yes,GPU instance,32,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,244 GiB,EBS only,10 Gigabit,64-bit,,,,,,,,Dedicated,,SUSE,No License required,,,,,,,,APS1-DedicatedUsage:p3.8xlarge,RunInstances:000g,Used,7000 Mbps,97,,Yes,4,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,64,,NA,Intel AVX; Intel AVX2; Intel Turbo,,,Amazon Elastic Compute Cloud,
